id,code,name,short_name,department,category,reporting_type,outsource_lab_name,price_paisa,sample_type,container,method,tat_hours,interpretation_template,is_active,display_order,created_at (Nepal ISO +05:45),updated_at (Nepal ISO +05:45),allow_manual_price,requires_sample_tracking,description,test_kind,lifecycle_status,category_id,sample_volume,configuration_notes,row_version,archived_at (Nepal ISO +05:45),archived_by,activated_at (Nepal ISO +05:45),activated_by,price_configured,allow_zero_price_billing,clinical_configuration_status,workflow_supported,normalized_name_collision_exempt,pricing_policy,search_aliases,billing_enabled,clinical_reporting_enabled,collection_required,workflow_type,analyzer_configuration_required,reporting_model
"12dcb3b3-01e1-4483-bdaa-4404c44ec05c","MPV","Mean Platelet Volume, MPV","MPV","Hematology","Hematology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[""mpv""]","false","false","false","Routine","false","NumericSingle"
"1efab896-28b7-4596-86ce-4923351ccf78","MICROALBUMIN_CREATININE_RATIO_URINE_RANDOM","Microalbumin Creatinine Ratio, Urine Random","","Clinical Pathology","Clinical Pathology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","cc8f47da-255c-4710-b970-26534098fd0c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericMultiParameter"
"635d33cb-e137-4aa6-92c7-1c7af73404d2","MICROALBUMIN_URINE_24_HOURS","Microalbumin, Urine 24 hours","","Clinical Pathology","Clinical Pathology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","cc8f47da-255c-4710-b970-26534098fd0c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericMultiParameter"
"126b7e2d-c44d-439d-ba6a-ac923ceeadf4","MYOGLOBIN","Myoglobin","","Clinical Biochemistry / Immunoassay","Biochemistry & Clinical Chemistry","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericSingle"
"74188cd6-4114-4641-b4fe-6d1175ffc4a4","NLR","Neutrophil Lymphocyte Ratio","NLR","Hematology","Hematology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[""nlr""]","false","false","false","Routine","false","NumericSingle"
"c0fcbd1b-e7ca-468e-ba38-e41bd7d548d0","NT_PROBNP","NT- ProBNP (N-TERMINAL PRO B TYPE NATRIURETIC PEPTIDE)","NT- ProBNP","Clinical Biochemistry","Biochemistry & Clinical Chemistry","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[""nt- probnp""]","false","false","false","Routine","false","NumericSingle"
"5389d000-d574-4968-acb2-9f9c54d639ac","OCCULT_BLOOD_STOOL","Occult Blood, Stool","","Clinical Pathology","Clinical Pathology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","cc8f47da-255c-4710-b970-26534098fd0c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","Qualitative"
"7afcf496-2ac3-4e47-9dba-df8a79d24074","OGCT","Oral Glucose Challenge Test","OGCT","Clinical Biochemistry","Biochemistry & Clinical Chemistry","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[""ogct""]","false","false","false","Routine","false","NumericSingle"
"84803afc-731b-4a3a-98e8-a43580ad2f8b","P_LCR","P-LCR","","Hematology","Hematology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericSingle"
"1bd0043a-0790-4ade-a037-18bb8f6dc33b","P_D_W","P.D.W.","","Hematology","Hematology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericSingle"
"2db1537d-2210-4f8a-9286-88a8a305f7e3","PCV","Packed Cell Volume (PCV / Hematocrit)","PCV","Hematology","Routine Hematology","InHouse","","20000","Whole Blood","EDTA / Lavender Top","","2","","true","70","2026-08-19T08:29:33+05:45","2026-08-19T08:29:33+05:45","false","false","","Individual","Active","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","","1","","","","","true","false","Configured","true","false","Fixed","[""hct"",""hematocrit"",""packed cell volume"",""hematocrit value, hct""]","true","false","true","Routine","false","NumericSingle"
"dfa1fa0d-ee40-444d-a93f-1a9448a6a19d","PAP_SMEAR","PAP Smear cytology case","","Cytology","Cytology","NoReporting","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","662f74e6-a41f-42fc-b23b-7dca003d5826","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","false","false","PricePending","[]","false","false","false","Cytology","false","CytologyWorkflow"
"aad11679-1466-4ecf-9965-560a2f2ee122","PARATHYROID_HORMONE_PTH","Parathyroid Hormone (PTH)","","Endocrinology / Hormone","Hormones & Endocrinology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","9e7ad776-49d7-4ba8-ad4a-3919f1933ec7","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericSingle"
"40185413-6bdb-4f79-8d01-9cfc69b901fc","PBS","Peripheral Blood Smear Examination (PBS)","PBS","Hematology","Morphology","InHouse","","80000","Whole Blood","EDTA / Lavender Top","","6","","true","90","2026-08-19T08:29:33+05:45","2026-08-19T08:29:33+05:45","false","false","","Individual","Active","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","","1","","","","","true","false","Configured","true","false","Fixed","[""pbs / gbp"",""peripheral blood smear""]","true","true","true","Routine","false","NumericMultiParameter"
"bf68aa2d-bc3a-4bbd-b861-39385594491f","PLT","Platelet Count","Platelets","Hematology","Routine Hematology","InHouse","","20000","Whole Blood","EDTA / Lavender Top","","2","","true","50","2026-08-19T08:29:33+05:45","2026-08-19T08:29:33+05:45","false","false","","Individual","Active","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","","1","","","","","true","false","Configured","true","false","Fixed","[""platelet count"",""platelet""]","true","false","true","Routine","false","NumericSingle"
"da6e5ee8-f019-42d8-9f29-046297bd9194","PLATELET_INDICES","Platelet Indices","Platelet Indices","Hematology","Hematology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Profile","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","Profile"
"188f4cb6-81fc-4919-b435-a1f884d68f40","PPBS","Post Prandial Blood Sugar (PPBS)","PPBS","Clinical Biochemistry","Glucose & Diabetes","InHouse","","5000","Fluoride Plasma / Serum","Grey Top / Yellow Top","","2","","true","110","2026-08-19T08:29:33+05:45","2026-08-19T08:29:33+05:45","false","false","","Individual","Active","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","","1","","","","","true","false","Configured","true","false","Fixed","[""blood sugar pp""]","true","false","true","Routine","false","NumericSingle"
"3c325649-a48a-43bb-bf68-23d4b73af1bd","PROCALCITONIN","Procalcitonin","PCT","Endocrinology / Hormone","Hormones & Endocrinology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","9e7ad776-49d7-4ba8-ad4a-3919f1933ec7","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[""serum procalcitonin"",""pct""]","false","false","false","Routine","false","NumericSingle"
"4412d248-b92e-4eac-a96b-90d8d0f584f8","PROGESTERONE","Progesterone","","Endocrinology / Hormone","Hormones & Endocrinology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","9e7ad776-49d7-4ba8-ad4a-3919f1933ec7","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericSingle"
"b5aec3f7-5bcd-416f-bf6c-83d99c2a956f","PRL","Prolactin","PRL","Endocrinology / Hormone","Hormones & Endocrinology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","9e7ad776-49d7-4ba8-ad4a-3919f1933ec7","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[""prl""]","false","false","false","Routine","false","NumericSingle"
"af1fc1e9-8fce-4c0e-bfa8-3b6c470a46d8","PSA","Prostate Specific Antigen (PSA, Total)","PSA","Serology & Immunology","Tumor Markers","InHouse","","150000","Serum","Yellow Top (SST)","","6","","true","510","2026-08-19T08:29:33+05:45","2026-08-19T08:29:33+05:45","false","false","","Individual","Active","5c47a8e4-7519-44cb-b0b9-35a1f89f8971","","","1","","","","","true","false","Configured","true","false","Fixed","[""total psa""]","true","false","true","Routine","false","NumericSingle"
"898d22de-4361-482f-afc5-662f8c6fb356","PT_INR","Prothrombin Time / International Normalized Ratio (PT / INR)","","Hematology","Hematology","NoReporting","","0","","","","","","false","0","2026-08-26T21:05:55+05:45","2026-08-26T21:05:55+05:45","false","false","","Profile","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","Patient PT, Control PT, ISI and server-authoritative INR calculation remain unconfigured.","1","","","","","false","false","Requires Clinical Validation","true","false","Fixed","[""prothrombin time, pt/inr"",""pt/inr""]","false","false","false","NoClinicalReport","false","Profile"
"3d033f4e-57b4-4c86-b729-7dbfeaf1b031","PUS_CULTURE_AND_SENSITIVITY","Pus Culture & Sensitivity microbiology case","","Microbiology","Microbiology & Culture","NoReporting","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","1f3a7368-f9be-47b6-8295-b5788e968e1c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","false","false","PricePending","[]","false","false","false","MicrobiologyCulture","false","MicrobiologyWorkflow"
"2e91533f-f7ea-4363-bfde-3c12c23817f3","R_D_W_CV","R.D.W. - CV","","Hematology","Hematology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericSingle"
"c913725d-32d9-4f84-a4ce-68680104ba06","R_D_W_SD","R.D.W. - SD","","Hematology","Hematology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericSingle"
"7dbd8378-c1b8-401f-9bd9-476e0eae3720","RBS","Random Blood Sugar (RBS)","RBS","Clinical Biochemistry","Glucose & Diabetes","InHouse","","10000","Fluoride Plasma / Serum","Grey Top / Yellow Top","","1","","true","120","2026-08-19T08:29:33+05:45","2026-08-19T08:29:33+05:45","false","false","","Individual","Active","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","","1","","","","","true","false","Configured","true","false","Fixed","[""random blood sugar""]","true","false","true","Routine","false","NumericSingle"
"8c748b30-52cb-4311-8da2-d9ac4c68e823","RBC_COUNT","Red Blood Cell Count (RBC Count)","RBC","Hematology","Routine Hematology","InHouse","","20000","Whole Blood","EDTA / Lavender Top","","2","","true","80","2026-08-19T08:29:33+05:45","2026-08-19T08:29:33+05:45","false","false","","Individual","Active","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","","1","","","","","true","false","Configured","true","false","Fixed","[""red blood cell count"",""rbc"",""total rbc count""]","true","false","true","Routine","false","NumericSingle"
"5ebca2ed-ced0-4538-abaf-df0cb8e826f4","RBC_INDICES","Red Blood Cell Indices","RBC Indices","Hematology","Hematology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Profile","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","Profile"
"10000000-0000-0000-0000-000000000003","RFT","Renal Function Test (RFT)","","Clinical Biochemistry","Biochemistry Profiles","InHouse","","85000","Serum","Yellow Top (SST)","","24","","true","3","2026-08-19T07:08:19+05:45","2026-08-19T07:08:19+05:45","false","false","","Individual","Active","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","TM256 convergence: structurally incomplete legacy identity held non-operational pending canonical resolution.","1","","","","","true","false","Requires Clinical Validation","true","false","Fixed","[]","false","false","true","Routine","false","NumericSingle"
"1d68aa04-554d-4646-a804-58fdd957ec53","RETIC_COUNT","Reticulocyte Count","","Hematology","Hematology","NoReporting","","0","","","","","","false","0","2026-08-26T21:05:55+05:45","2026-08-26T21:05:55+05:45","false","false","","Individual","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","Reviewed reference-catalogue identity; clinical configuration required.","1","","","","","false","false","Requires Clinical Validation","true","false","Fixed","[]","false","false","false","NoClinicalReport","false","NarrativeDocument"
"bca00b76-a2f7-485d-931b-faeb40be0e2c","RA_FACTOR","Rheumatoid Factor (RA Factor, Quantitative)","RA Factor","Serology & Immunology","Autoimmune","InHouse","","80000","Serum","Yellow Top (SST)","","2","","true","330","2026-08-19T08:29:33+05:45","2026-08-19T08:29:33+05:45","false","false","","Individual","Active","5c47a8e4-7519-44cb-b0b9-35a1f89f8971","","","1","","","","","true","false","Configured","true","false","Fixed","[]","true","false","true","Routine","false","NumericSingle"
"5f5f6b45-e7bd-481f-b37c-77ce4d1c765d","RA_QUALITATIVE","Rheumatoid Factor, RA (Qualitative)","RA (Qualitative)","Serology & Immunology","Serology & Immunology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","5c47a8e4-7519-44cb-b0b9-35a1f89f8971","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[""ra (qualitative)""]","false","false","false","Routine","false","NumericSingle"
"94a011de-02db-40ee-9117-7e11776810e7","RA_QUANTITATIVE","Rheumatoid Factor, RA (Quantitative)","RA (Quantitative)","Serology & Immunology","Serology & Immunology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","5c47a8e4-7519-44cb-b0b9-35a1f89f8971","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[""ra (quantitative)""]","false","false","false","Routine","false","NumericSingle"
"daddb131-6b50-4b97-a939-088c0756a82f","RUBELLA","Rubella","","Serology & Immunology","Serology & Immunology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","5c47a8e4-7519-44cb-b0b9-35a1f89f8971","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericMultiParameter"
"1b9d44dd-fec9-451b-af4d-606e933263a0","RUBELLA_IGG","Rubella IgG","","Clinical Biochemistry","Biochemistry & Clinical Chemistry","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericSingle"
"bc37f03f-b0b4-4818-b9e2-b315b9c85d2a","RUBELLA_IGM","Rubella IgM","","Clinical Biochemistry","Biochemistry & Clinical Chemistry","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericSingle"
"74066b99-958a-4868-9398-14c407e4995f","SCRUB_TYPHUS","Scrub Typhus","","Serology & Immunology","Serology & Immunology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","5c47a8e4-7519-44cb-b0b9-35a1f89f8971","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","NumericMultiParameter"
"724030ff-46e8-4c2b-a13b-771afa748715","SEMEN_EXAMINATION","Semen Analysis structured service","","Clinical Pathology","Clinical Pathology","NoReporting","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","cc8f47da-255c-4710-b970-26534098fd0c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","false","false","PricePending","[]","false","false","false","NoClinicalReport","false","StructuredNested"
