"rule_id","parameter_id","test_code","parameter_code","parameter_name","gender","age_min_days","age_max_days","normal_min","normal_max","normal_text","critical_low","critical_high","unit","reference_source","clinical_note"
"dd66278a-1d0b-4078-9edc-f73005c51af8","6d7e7c9e-2c08-4ef9-9825-02c274e6ae2b","SER-0024","WIDAL_AH","Salmonella Paratyphi 'AH'","All","0","43800","","",">= 1:80 Significant","","","Titer","APPROVED_LIS_CONFIG",""
"e28e1888-1d3b-45b9-b36f-4163224b42e0","313365e6-7a37-483e-91ef-59a89e86ec77","SER-0024","WIDAL_BH","Salmonella Paratyphi 'BH'","All","0","43800","","",">= 1:80 Significant","","","Titer","APPROVED_LIS_CONFIG",""
"797021d7-6d3d-4967-8396-4f5d235d0851","0457e698-7fa3-49aa-a01a-44834df7f54c","SER-0086","SER-0086","HUMAN IMMUNODEFICIENCY VIRUS (HIV), RAPID SCREENING TEST","All","0","43800","","","Negative","","","","APPROVED_LIS_CONFIG",""
"a3f4fde8-e967-4ee4-b85e-02de7f00e8e6","eddc778c-2309-4a69-b4fa-de7d8f2cb984","SER-0087","SER-0087","HEPATITIS B SURFACE ANTIGEN (HBsAg), RAPID SCREENING TEST","All","0","43800","","","Negative","","","","APPROVED_LIS_CONFIG",""
"5a484d7b-109f-4365-925e-1efef42ac09a","bf2b5698-0b7b-4260-b214-dc001963cb7f","SER-0088","SER-0088","HCV RAPID SCREENING TEST","All","0","43800","","","Negative","","","","APPROVED_LIS_CONFIG",""
"a03297df-5314-4682-af71-43ba02723d2b","2dace2bd-1ab7-4842-a247-d9facee23dd0","SER-0089","SER-0089-01","Scrub Typhus IgM","All","0","43800","","1","< 1.0 (Negative)","","","Index","APPROVED_LIS_CONFIG",""
"c34a5e99-5e94-44c4-90aa-80576f2f2e93","a32b1ded-f8b1-4213-bd77-1b38b6402257","SER-0089","SER-0089-02","Scrub Typhus IgG","All","0","43800","","1","< 1.0 (Negative)","","","Index","APPROVED_LIS_CONFIG",""
"037ee173-a516-4ca8-8b8f-45ce4c3d9d74","49967876-718c-462f-82b9-bda2d415b0e2","SPC-0007","SPC-0007-01","Metabolic Profile Result","All","0","43800","","","Normal Organic Acid Excretion","","","","APPROVED_LIS_CONFIG",""
"98a38818-b03a-46dd-8544-a6f173efbfe2","85a95ba1-0ebf-4690-bc70-5dd5c4b8f24b","SPC-0007","SPC-0007-02","Key Excreted Acids","All","0","43800","","","No abnormal metabolites detected","","","","APPROVED_LIS_CONFIG",""
"787f8902-05d1-4c73-a7a9-d94597235a6d","8676a58d-c099-4f17-a831-eb853b33cca7","SPC-0007","SPC-0007-03","Clinical Interpretation","All","0","43800","","","Normal metabolic excretion pattern","","","","APPROVED_LIS_CONFIG",""
