"parameter_id","test_id","test_code","parameter_code","parameter_name","value_type","unit","display_order","is_mandatory","is_active","lifecycle_status","formula","options","reference_status"
"bc8e147a-a9bc-4139-be1c-d6a4b7546cb9","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","HCT","Hematocrit (Packed Cell Volume - PCV)","Numeric","%","12","TRUE","TRUE","Active","","","CONFIGURED"
"eba025c0-5701-4d0e-82c2-c88848a97e47","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","MCV","Mean Corpuscular Volume","Numeric","fL","13","TRUE","TRUE","Active","","","CONFIGURED"
"6ed0b758-a5e2-4117-b642-9febea778826","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","MCH","Mean Corpuscular Hemoglobin","Numeric","pg","14","TRUE","TRUE","Active","","","CONFIGURED"
"f0897fbf-dfff-4eec-b6ea-f65b5e352b25","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","MCHC","Mean Corpuscular Hemoglobin Concentration","Numeric","g/dL","15","TRUE","TRUE","Active","","","CONFIGURED"
"80bd6ae3-daed-4a53-a47d-1cbf17e020d9","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","RDW_CV","Red Cell Distribution Width - Coeff. of Variation","Numeric","%","16","FALSE","TRUE","Active","","","CONFIGURED"
"d9abe328-c230-42a9-b7bf-5e33d68a760e","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","RDW_SD","Red Cell Distribution Width - Standard Deviation","Numeric","fL","17","FALSE","TRUE","Active","","","CONFIGURED"
"f6664c54-7c7b-4506-ac74-687fde8a912b","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","PLT","Platelet Count","Numeric","10^9/L","18","TRUE","TRUE","Active","","","CONFIGURED"
"50cff77e-f05c-452a-9aed-99113dd6260e","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","MPV","Mean Platelet Volume","Numeric","fL","19","FALSE","TRUE","Active","","","CONFIGURED"
"6e3bc626-0995-4ce1-9061-5ee69a073664","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","PDW_CV","Platelet Distribution Width - CV","Numeric","%","20","FALSE","TRUE","Active","","","CONFIGURED"
"654434da-bff2-408b-babd-06ba8ae88794","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","PDW_SD","Platelet Distribution Width - SD","Numeric","fL","21","FALSE","TRUE","Active","","","CONFIGURED"
